,title,thumbnail_url,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17
34,Lamy Ch. 雪花ラミィ,https://yt3.ggpht.com/ytc/AKedOLQVpWb-K93rLNGFHHyhgg45VE7FVBwJQz67JqJvvQ=s240-c-k-c0x00ffffff-no-rj,346349,293348,271915,272228,266977
32,Lui ch. 鷹嶺ルイ - holoX -,https://yt3.ggpht.com/R_IzGiw1xDQp0y9zVvGkF9e8Gj8wtr2_551Ez3X6gOMIj3e6jra1I1suuK_jH9FqigBj8ywg=s240-c-k-c0x00ffffff-no-rj,333268,407801,261657,220589,194906
37,Korone Ch. 戌神ころね,https://yt3.ggpht.com/ytc/AKedOLTGCZfOdpj8vnNV4hbPvxJrlbERhgBWnBrWKbS5WQ=s240-c-k-c0x00ffffff-no-rj,315867,276716,270955,484926,334019
40,IRyS Ch. hololive-EN,https://yt3.ggpht.com/oC30wBZ04ibFN7AQVHAjdUX-3nS-h4DDjJBYVlsKt0OF6t1CZwrgzWlr3rS6Q12kXrw3-mt9gg=s240-c-k-c0x00ffffff-no-nd-rj,312813,254316,239603,214369,207387
27,Miko Ch. さくらみこ,https://yt3.ggpht.com/ytc/AKedOLSbBntfDXMdVKKj7E0dBuTHIvl4rhXvCDyuCaVpTA=s240-c-k-c0x00ffffff-no-rj,305188,269608,272851,274149,263204
28,Mel Channel 夜空メルチャンネル,https://yt3.ggpht.com/I6f2LiL5tEL4ECQhPNJPvBkrf6WrKAS8nheCpTyyQSNKzCwBL2XJSGKxBMc6UNcUr1AR7hrjXw=s240-c-k-c0x00ffffff-no-rj,266581,198045,181329,174584,160602
15,Pekora Ch. 兎田ぺこら,https://yt3.ggpht.com/ytc/AMLnZu9QrCPT5A0zE49EHvoS_gs2XBxzXSLs_OkIoTawkw=s240-c-k-c0x00ffffff-no-rj,250142,234780,238700,222719,210524
26,Mio Channel 大神ミオ,https://yt3.ggpht.com/Z78RNXxUqpOGYKFt-VrJV7nlehOHzl7Ta-l1cgPx5Ewucmr5kY64iGxmPSe7QqIdM1ZhvPlEOg=s240-c-k-c0x00ffffff-no-rj,248204,216630,224693,217100,215822
3,Watame Ch. 角巻わため,https://yt3.ggpht.com/yyc42nbIa5iEVfpBUf5nxUb02ljS-C2tOSYNUiKzBHrnYwYTUdOrIpUfc1EcPLJoG2C4AXOV9Q=s240-c-k-c0x00ffffff-no-rj,240452,195132,363228,437078,247765
45,Flare Ch. 不知火フレア,https://yt3.ggpht.com/d9aIrGtZR0eI4k1Wnev5f_R4llIBsWnQOjkdsqkMycoAxA3g_zz-jyeBl8tEHfbm1iTg0SJj=s240-c-k-c0x00ffffff-no-rj,204677,312903,395593,302654,243853
9,Subaru Ch. 大空スバル,https://yt3.ggpht.com/ytc/AKedOLQ0Nsdn1Wqq6ZUtHEKrpDabcaXo3BwMqEFgSy-hhg=s240-c-k-c0x00ffffff-no-rj,202692,165563,157506,153072,146163
50,Botan Ch.獅白ぼたん,https://yt3.ggpht.com/ytc/AKedOLRNNJhezxxHiQ4gHoOrnmNb3_D_u9OuNsKoPJ8A0A=s240-c-k-c0x00ffffff-no-rj,198740,175731,172954,168645,163789
29,Matsuri Channel 夏色まつり,https://yt3.ggpht.com/wIqM7MWDN94PoibzPmeog7WOt8jFKTKZBOBFEbLBaiUAdKLwoqdLC_CN7B7Gby-FWH-076rN=s240-c-k-c0x00ffffff-no-rj,183995,168163,168290,159747,166243
22,Nanashi Mumei Ch. hololive-EN,https://yt3.ggpht.com/owZmjfnG_SGVmfkl3eS7Lv47pGvIr2SrS36imh6O8i0H3Wy41fYKD26U7wnyRB627fXoq0aQ0Q=s240-c-k-c0x00ffffff-no-rj,171154,140768,130583,127348,121854
10,SoraCh. ときのそらチャンネル,https://yt3.ggpht.com/ytc/AKedOLRo4fRoifdnGRyvGIOVxiumNdD5MXweEPHLO_SBrA=s240-c-k-c0x00ffffff-no-rj-mo,163131,151338,302986,260765,203408
52,Ayunda Risu Ch. hololive-ID,https://yt3.ggpht.com/ytc/AKedOLTjqfaFS9JlspGjiIah2kkxOtl4vRrxBCYKMEY5Kw=s240-c-k-c0x00ffffff-no-rj,144662,125226,121784,140074,146985
42,Hakos Baelz Ch. hololive-EN,https://yt3.ggpht.com/7gFSRIM3_DhczV8AYjeP4EaS0OL-u_xLvIh9JhG9zJhPYEfVwsoUOK61L6eBlLjnPHN-EDvytQ=s240-c-k-c0x00ffffff-no-rj,132175,115707,121313,127635,129245
1,アキロゼCh。Vtuber/ホロライブ所属,https://yt3.ggpht.com/ytc/AKedOLS57LOo-VajYzEWa_OfnI8CuAgXTXCrXxwcINVqOg=s240-c-k-c0x00ffffff-no-rj,129057,100314,98617,97739,90722
