,title,thumbnail_url,sum
0,【歌ってみた】メルティランドナイトメア【#07】,https://i.ytimg.com/vi/sm4KMKurd8E/mqdefault.jpg,10895.0
1,【歌ってみた】ロボ子、あっかんべーだ　歌ってみた。【オリジナルPV 】,https://i.ytimg.com/vi/e_EqIA6ZWqs/mqdefault.jpg,7899.0
2,レペゼンVTuberラッパーロボ子！【世界クーリッシュ選手権2018】,https://i.ytimg.com/vi/24NBZW9P7_c/mqdefault.jpg,171.0
3,【全部美兎】シュガーソングとビターステップ OFF(全部美兎)を…歌ってみた【ロボ子さん】,https://i.ytimg.com/vi/8SRe-pPLaG0/mqdefault.jpg,563.0
4,【歌ってみた】ブルーバード【#15】,https://i.ytimg.com/vi/PerzMoTou-k/mqdefault.jpg,14503.0
5,【歌ってみた】夢路らびりんす/うらら迷路帖OP - Short ver -【REALITY】,https://i.ytimg.com/vi/VeWlafLgrMs/mqdefault.jpg,2834.0
6,【歌ってみた】少年と魔法のロボット【VTuberチャリティーライブ】,https://i.ytimg.com/vi/48DgT4-JYZA/mqdefault.jpg,1265.0
7,【歌ってみた】創聖のアクエリオン【#17】,https://i.ytimg.com/vi/_8eUrkYNnLY/mqdefault.jpg,94130.0
8,【ロボ子さん×樋口楓】PLATONIC GIRL 【歌ってみた】,https://i.ytimg.com/vi/_cUTVL2Nj6o/mqdefault.jpg,4425.0
9,未練レコード【ときのそら × 40mP】歌ってみた/アキロゼcover,https://i.ytimg.com/vi/Tvx2UWi59pQ/mqdefault.jpg,1158.0
10,【ロボ子さん×樋口楓】Happy Halloween 【歌ってみた】,https://i.ytimg.com/vi/v6u80eYSLvc/mqdefault.jpg,2961.0
11,【ロボ子さん】メルティランドナイトメア【オリジナルMV】,https://i.ytimg.com/vi/Klsca1OcwH8/mqdefault.jpg,2828.0
12,【声を枯らして】Just Be Friends -piano.ver- 歌ってみた AZKi【叫んだ】,https://i.ytimg.com/vi/SdgFVX0FsgE/mqdefault.jpg,7563.0
13,【Do you love】Sweet Devil 歌ってみた AZKi【sweet devil?】,https://i.ytimg.com/vi/VAvd842cCYM/mqdefault.jpg,3911.0
14,【アニソン】only my railgun 歌ってみた AZKi【初挑戦】,https://i.ytimg.com/vi/O4Oz8Gn6oDY/mqdefault.jpg,4016.0
15,【ロボ子さん・白上フブキ】嗚呼素晴らしきニャン生【ドーラ・鷹宮リオン】,https://i.ytimg.com/vi/Mb2oMO-SK7w/mqdefault.jpg,2251.0
16,【ギルティクラウン】My Dearest 歌ってみた AZKi【supercell】,https://i.ytimg.com/vi/lxJ7SXMEPto/mqdefault.jpg,4942.0
17,【歌ってみた】イヤイヤちゃんのうた【MIXもAZKi】,https://i.ytimg.com/vi/f8F8yNVDUEo/mqdefault.jpg,1080.0
18,【セブンティーンな】セブンティーナ 歌ってみた AZKi【フォーチュネス】,https://i.ytimg.com/vi/qokrSyGZTiM/mqdefault.jpg,1465.0
19,【とらドラ！】オレンジ 歌ってみた AZKi【オレンジ】,https://i.ytimg.com/vi/7o_YL35T93w/mqdefault.jpg,9561.0
20,Sweets parade/赤井はあと 【歌ってみた】,https://i.ytimg.com/vi/mKORVdoWU2E/mqdefault.jpg,3268.0
21,【MMD公開記念】おねがいダーリン 歌ってみた【ロボ子さん】,https://i.ytimg.com/vi/RJwpJIe5FmY/mqdefault.jpg,9757.0
22,【歌ってみた】melty world【#18】,https://i.ytimg.com/vi/9pgap38Os_k/mqdefault.jpg,27962.0
23,【歌ってみた】好き！雪！本気マジック ／夏色まつり,https://i.ytimg.com/vi/nZ-g1pPNfts/mqdefault.jpg,5395.0
24,【ロッテCM曲】VTuber17名で「ベイビーアイラブユーだぜ」をやってみた【ぴろぱる】,https://i.ytimg.com/vi/0yeg4XkzrMI/mqdefault.jpg,2200.0
25,【歌ってみた】劣等上等【ルピナス&すいせい】,https://i.ytimg.com/vi/X1T9M4F8sKk/mqdefault.jpg,19208.0
26,【1stオリジナルソング】Creating world【開拓するの私の世界】,https://i.ytimg.com/vi/ZkvtKUQp3nM/mqdefault.jpg,4025.0
27,【キズナアイ】miracle step 歌ってみた AZKi【私達のmiracle step】,https://i.ytimg.com/vi/JHiWqdrWOSQ/mqdefault.jpg,1734.0
28,【私の進化の】二息歩行 歌ってみた AZKi【1ページ目】,https://i.ytimg.com/vi/aQ6Hir0wlVg/mqdefault.jpg,2342.0
29,【コレサワ】たばこ 歌ってみた AZKi【JPOP初挑戦！】,https://i.ytimg.com/vi/UnM2_ddXNYk/mqdefault.jpg,3536.0
30,【ずとまよ】秒針を噛む 歌ってみた AZKi【みんなに教えてもらった】,https://i.ytimg.com/vi/Gni3co__EPI/mqdefault.jpg,2070.0
31,【ヨルシカ】ただ君に晴れ 歌ってみた AZKi【君のポケットに夜が咲く】,https://i.ytimg.com/vi/_JoXN6LdcDY/mqdefault.jpg,2842.0
32,【2ndオリジナルソング】リアルメランコリー【私と似てる気持ちの君へ】,https://i.ytimg.com/vi/ad-6W3bazMs/mqdefault.jpg,1726.0
33,深海少女 #アメノセイ #AZKi 【歌ってみた】,https://i.ytimg.com/vi/6rW_9ldrISM/mqdefault.jpg,1425.0
34,【花譜】心臓と絡繰 歌ってみた AZKi【この気持ちは全部私のものだ】,https://i.ytimg.com/vi/jKJ5a7gVkH8/mqdefault.jpg,1492.0
35,【歌ってみた】Shine!!/CINDERELLA PROJECT【#20】,https://i.ytimg.com/vi/WLj0Rg_bcvQ/mqdefault.jpg,21803.0
